text,label_id,label
2.6 حقوق الملكية الفكرية: ويُقصد بها براءة اختراع أو حقوق طبع ونسخ أو تصميم أو نماذج أو علامة تجارية، بما في ذلك العلامات التجارية المسجلة وغير المسجلة، والاسم التجاري، وكذلك الحقوق المستمرة والموثقة، وكذلك الحقوق المحمية بموجب نظام حماية الملكية الفكرية، وكافة الحقوق التي تنم ملكيتها أو حيازتها أو استخدامها بموجب أحكام هذه الاتفاقية.,0,منخفض الخطورة
طرف أول بائع: [توقيع]. طرف ثانٍ مشترٍ: [توقيع]. الشهود: 1) .......... 2) ..........,0,منخفض الخطورة
6.5 سلّم الشريك الأول نصيبه من قيمة المال النقدي وقدره [غير محدد] ريال سعودي، وذلك بموجب المصروفات الملحقة بنص هذا العقد.,0,منخفض الخطورة
قائمة موقعين (توقيع/بصمة) مرقمة من 1 إلى 6، جميعهم يحملون على الأرجح نفس اسم العائلة [يبدو 'محروس' أو مشابه، غير مؤكد بالكامل]، مع بصمة إبهام كبيرة أسفل الصفحة وتوقيعات إضافية في أسفل يسار الصفحة. الأسماء الفردية غير واضحة بثقة كافية.,0,منخفض الخطورة
مادة (45): تسري أحكام القانون المصري فيما لم يرد بشأنه نص خاص في هذا العقد.,0,منخفض الخطورة
مادة (46): حُرر هذا العقد بمدينة بجمهورية مصر العربية من عدد نسخة، لكل من الشركاء نسخة. ويُنشر هذا العقد طبقاً للقانون.,0,منخفض الخطورة
مادة (19): تمثل الجمعية العامة جميع الشركاء، ولا يجوز انعقادها إلا في مدينة [يُراعى أن تكون إحدى هذه المدن هي مدينة المركز الرئيسي للشركة].,0,منخفض الخطورة
المادة الثالثة عشرة: فسخ الشركة: تُفسخ الشركة قبل نهاية مدتها في حالة وجود خسائر، ويكون ذلك بإجماع الشركاء.,1,متوسط الخطورة
المادة الثالثة: توزيع الأرباح والخسائر. يتم الاتفاق على آلية توزيع الأرباح وتحمل الخسائر بين الطرفين، ويتم تحديد نسبة كل طرف في الأرباح والخسائر وفقًا للاتفاق الوارد في هذا العقد.,0,منخفض الخطورة
ثامناً: تحرر هذا العقد من نسختين بيد كل طرف نسخة للعمل بها عند اللزوم [الصياغة الدقيقة غير مؤكدة بالكامل].,0,منخفض الخطورة
البند الثالث عشر: يقر الطرفان بأن عنوانهما المبين بصدر هذا العقد محلاً مختاراً يُوجَّه إليه كافة الأوراق المتعلقة بهذا العقد، وأي إخطارات أو إعلانات تُوجَّه على هذا العنوان تكون صحيحة ومنتجة لآثارها القانونية، ما لم يخطر أحد الطرفين الآخر بأي تغيير في العنوان بخطاب موصى عليه بعلم الوصول أو بموجب إعلان رسمي.,0,منخفض الخطورة
ثانياً: باع وأسقط وتنازل بكافة الضمانات القانونية والفعلية الطرف الأول إلى الطرف الثاني حصة وقدرها الثلث في العقار الموضح في البند التمهيدي وهو ما تملكه البائعة في العقار المبيع والمتخلف لها وللمشتري من مورثتهم المرحومة/ نعيمة محمد فرجاني.,0,منخفض الخطورة
يُصرّح المشتري بأنه قد تفقد العين محل التعاقد بنفسه وبشكل كافٍ، وأنه استلمها ووضع يده عليها دون أي إشكال، وأنه يتحمل من تاريخ التسليم جميع الرسوم والمستحقات الخاصة بها.,2,عالي الخطورة
أي تأخير من الطرف الثاني في سداد الأقساط المتفق عليها يترتب عليه فسخ هذا العقد فسخاً تلقائياً بلا حاجة لأي إجراء قضائي أو إنذار مسبق.,2,عالي الخطورة
عقد تأسيس شركة - شركة مصرية ذات مسئولية محدودة خاضعة لأحكام قانون الاستثمار الصادر بالقانون رقم 72 لسنة 2017. صادر عن: قطاع الشؤون القانونية - الإدارة المركزية للشؤون القانونية للتأسيس والشركات - الإدارة العامة للعقود وقرارات التأسيس (الهيئة العامة للاستثمار والمناطق الحرة). تم إبرام هذا العقد في يوم الموافق / / بين كل من (جدول بأسماء المؤسسين وجنسياتهم وتاريخ ميلادهم وإثبات شخصيتهم ومحال إقامتهم).,0,منخفض الخطورة
"ثانياً: تم هذا البيع نظير ثمن قدره 92,000 (فقط [كتابة بالحروف غير واضحة]) فيكون جملة الثمن مبلغ وقدره 92,000 جنيه فقط. دفعه المشتري للبائع قبل تحرير هذا العقد ويعتبر توقيع الطرف الأول على هذا العقد بمثابة إيصال منه باستلام جميع هذا الثمن.",1,متوسط الخطورة
المادة الخامسة: التعويضات. يتم تحديد أية تعويضات مالية أو غيرها لأحد الطرفين في حالة وجود تغييرات أو تعديلات على شروط الشراكة، وذلك بموافقة الطرف الآخر.,0,منخفض الخطورة
المادة الثالثة: مقر الشركة: كائن بالعقار رقم ........ بشارع .............. قسم ................. محافظة ............................,0,منخفض الخطورة
رابعاً: يضمن البائع خلو الأرض المبيعة من جميع الحقوق العينية والرهون.,1,متوسط الخطورة
ثالثاً: دُفع هذا الثمن قبل تحرير هذا العقد، ويعتبر توقيع الطرف الأول على هذا العقد بمثابة إيصال منه باستلام هذا الثمن [صياغة الجملة الدقيقة غير مؤكدة بالكامل].,1,متوسط الخطورة
يحق لفودافون مصر تعديل بنود وشروط هذا العقد من جانبها في أي وقت، ويكفي إخطار العميل كتابةً قبل نفاذ التعديل بمدة محددة، دون الحاجة لموافقته الصريحة على التعديل.,2,عالي الخطورة
المادة الخامسة: مدة الشركة: تبدأ من ../../.. وتنتهي في ../../.. قابلة للتجديد لمدة أخرى مماثلة، ما لم يخطر أحد الشركاء الآخرين - بموجب إنذار على يد محضر أو بخطاب موصى عليه بعلم الوصول - برغبته في الانفصال، قبل نهاية مدة الشركة بمدة شهر على الأقل.,0,منخفض الخطورة
مادة (38): مع مراعاة أحكام المواد من (103) إلى (109) من قانون الشركات ولائحته التنفيذية، يكون للشركة مراقب حسابات أو أكثر ممن تتوافر فيهم شروط قانون مزاولة مهنة المحاسبة والمراجعة رقم 133 لسنة 1951، تُعينه الجمعية العامة وتقدر أتعابه. واستثناءً مما تقدم عيَّن الشركاء السيد/ الكائن مقره في مراقباً أول لحسابات الشركة. ويسأل المراقب عن صحة البيانات الواردة في تقريره بوصفه وكيلاً عن مجموع الشركاء، ولكل شريك أثناء انعقاد الجمعية العامة أن يناقش تقرير المراقب ويستوضحه عما ورد به.,0,منخفض الخطورة
